2024-12-17T15:00:05.170000, sensor1, Unknown, 4A:9C:BB:54:36:A4, -76, 4.1246263829013525
2024-12-17T15:00:05.170000, sensor1, Unknown, 45:E3:24:2B:53:6C, -51, 0.4506570337745474
2024-12-17T15:00:05.170000, sensor1, Unknown, 7B:E8:29:C8:A9:4E, -91, 15.57068404753731
2024-12-17T15:00:05.170000, sensor1, Unknown, 02:22:47:9F:41:BF, -81, 6.42232542222936
2024-12-17T15:00:05.170000, sensor1, Unknown, 73:B1:92:8C:8C:21, -75, 3.7750532053243937
2024-12-17T15:00:05.170000, sensor1, Unknown, 21:95:CD:88:41:FA, -54, 0.5878016072274913
2024-12-17T15:00:05.170000, sensor1, Unknown, 5F:D1:CA:FE:13:0D, -83, 7.666822074546214
2024-12-17T15:00:05.170000, sensor1, Unknown, F0:0A:F5:37:2C:01, -83, 7.666822074546214
2024-12-17T15:00:05.170000, sensor1, Unknown, 6B:AB:AA:C3:AF:41, -90, 14.251026703029977
2024-12-17T15:00:05.170000, sensor1, NHVB9, 6E:0D:99:6A:B7:93, -88, 11.937766417144363
2024-12-17T15:00:10.470000, sensor1, Unknown, 02:22:47:9F:41:BF, -80, 5.878016072274914
2024-12-17T15:00:10.470000, sensor1, Unknown, 5F:D1:CA:FE:13:0D, -80, 5.878016072274914
2024-12-17T15:00:10.470000, sensor1, Unknown, E6:A9:F1:86:33:B0, -90, 14.251026703029977
2024-12-17T15:00:10.470000, sensor1, Unknown, 4A:9C:BB:54:36:A4, -73, 3.1622776601683795
2024-12-17T15:00:10.470000, sensor1, Unknown, 45:E3:24:2B:53:6C, -47, 0.31622776601683794
2024-12-17T15:00:10.470000, sensor1, Unknown, 21:95:CD:88:41:FA, -56, 0.7017038286703828
2024-12-17T15:00:10.470000, sensor1, Unknown, 73:B1:92:8C:8C:21, -84, 8.37677640068292
2024-12-17T15:00:10.470000, sensor1, Unknown, FE:CD:3F:89:70:8F, -73, 3.1622776601683795
2024-12-17T15:00:10.470000, sensor1, Unknown, 6B:AB:AA:C3:AF:41, -87, 10.926008611173785
