2024-11-27T13:35:05.500000, sensor1, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -31, 0.07666822074546215
2024-11-27T13:35:05.500000, sensor1, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -62, 1.1937766417144364
2024-11-27T13:35:05.500000, sensor1, 49-E5-60-31-C4-1B, 49:E5:60:31:C4:1B, -74, 3.455107294592219
2024-11-27T13:35:05.500000, sensor1, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -39, 0.1557068404753731
2024-11-27T13:35:05.500000, sensor1, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -34, 0.1
2024-11-27T13:35:05.500000, sensor1, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -56, 0.7017038286703828
2024-11-27T13:35:05.500000, sensor1, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -48, 0.3455107294592219
2024-11-27T13:35:05.500000, sensor1, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -46, 0.2894266124716751
2024-11-27T13:35:05.500000, sensor1, 48-6E-99-2B-8E-0B, 48:6E:99:2B:8E:0B, -81, 6.42232542222936
2024-11-27T13:35:05.500000, sensor1, 59-80-82-17-05-85, 59:80:82:17:05:85, -57, 0.7666822074546215
2024-11-27T13:35:05.500000, sensor1, NHVB9, 6C:21:62:40:6A:30, -69, 2.2189823414589713
2024-11-27T13:35:05.500000, sensor1, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -73, 3.1622776601683795
2024-11-27T13:35:05.500000, sensor1, FF-3C-3B-A5-E2-4D, FF:3C:3B:A5:E2:4D, -41, 0.1858791891146564
2024-11-27T13:35:05.500000, sensor1, E4-E3-4B-1B-90-DF, E4:E3:4B:1B:90:DF, -56, 0.7017038286703828
2024-11-27T13:35:05.500000, sensor1, C1-32-6F-C4-0F-6F, C1:32:6F:C4:0F:6F, -54, 0.5878016072274913
2024-11-27T13:35:10.830000, sensor1, 59-80-82-17-05-85, 59:80:82:17:05:85, -58, 0.8376776400682919
2024-11-27T13:35:10.830000, sensor1, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -31, 0.07666822074546215
2024-11-27T13:35:10.830000, sensor1, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -58, 0.8376776400682919
2024-11-27T13:35:10.830000, sensor1, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -37, 0.13043213867190054
2024-11-27T13:35:10.830000, sensor1, FB-A7-4F-BF-65-17, FB:A7:4F:BF:65:17, -58, 0.8376776400682919
2024-11-27T13:35:10.830000, sensor1, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -37, 0.13043213867190054
2024-11-27T13:35:10.830000, sensor1, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -67, 1.8587918911465637
2024-11-27T13:35:10.830000, sensor1, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -43, 0.22189823414589713
2024-11-27T13:35:10.830000, sensor1, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -25, 0.04506570337745473
2024-11-27T13:35:10.830000, sensor1, 49-E5-60-31-C4-1B, 49:E5:60:31:C4:1B, -72, 2.894266124716751
2024-11-27T13:35:10.830000, sensor1, 48-6E-99-2B-8E-0B, 48:6E:99:2B:8E:0B, -80, 5.878016072274914
2024-11-27T13:35:10.830000, sensor1, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -69, 2.2189823414589713
2024-11-27T13:35:10.830000, sensor1, NHVB9, 6C:21:62:40:6A:30, -66, 1.701254279852589
2024-11-27T13:35:10.830000, sensor1, C1-32-6F-C4-0F-6F, C1:32:6F:C4:0F:6F, -49, 0.3775053205324394
2024-11-27T13:35:10.830000, sensor1, FF-3C-3B-A5-E2-4D, FF:3C:3B:A5:E2:4D, -52, 0.4923882631706739
2024-11-27T13:35:10.830000, sensor1, E4-E3-4B-1B-90-DF, E4:E3:4B:1B:90:DF, -63, 1.3043213867190053
2024-11-27T13:35:16.150000, sensor1, 49-E5-60-31-C4-1B, 49:E5:60:31:C4:1B, -83, 7.666822074546214
2024-11-27T13:35:16.150000, sensor1, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -68, 2.0309176209047357
2024-11-27T13:35:16.150000, sensor1, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -45, 0.2648969287610528
2024-11-27T13:35:16.150000, sensor1, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -31, 0.07666822074546215
2024-11-27T13:35:16.150000, sensor1, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -41, 0.1858791891146564
2024-11-27T13:35:16.150000, sensor1, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -41, 0.1858791891146564
2024-11-27T13:35:16.150000, sensor1, 59-80-82-17-05-85, 59:80:82:17:05:85, -66, 1.701254279852589
