2024-11-27T13:35:05.440000, sensor2, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -68, 2.0309176209047357
2024-11-27T13:35:05.440000, sensor2, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -59, 0.915247310877389
2024-11-27T13:35:05.440000, sensor2, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -75, 3.7750532053243937
2024-11-27T13:35:05.440000, sensor2, 48-6E-99-2B-8E-0B, 48:6E:99:2B:8E:0B, -95, 22.18982341458972
2024-11-27T13:35:05.440000, sensor2, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -59, 0.915247310877389
2024-11-27T13:35:05.440000, sensor2, 59-80-82-17-05-85, 59:80:82:17:05:85, -77, 4.506570337745474
2024-11-27T13:35:05.440000, sensor2, 49-E5-60-31-C4-1B, 49:E5:60:31:C4:1B, -91, 15.57068404753731
2024-11-27T13:35:05.440000, sensor2, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -61, 1.0926008611173783
2024-11-27T13:35:05.440000, sensor2, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -63, 1.3043213867190053
2024-11-27T13:35:05.440000, sensor2, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -88, 11.937766417144363
2024-11-27T13:35:05.440000, sensor2, NHVB9, 6C:21:62:40:6A:30, -93, 18.587918911465636
2024-11-27T13:35:05.440000, sensor2, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -85, 9.15247310877389
2024-11-27T13:35:05.440000, sensor2, FF-3C-3B-A5-E2-4D, FF:3C:3B:A5:E2:4D, -69, 2.2189823414589713
2024-11-27T13:35:05.440000, sensor2, E4-E3-4B-1B-90-DF, E4:E3:4B:1B:90:DF, -80, 5.878016072274914
2024-11-27T13:35:05.440000, sensor2, C1-32-6F-C4-0F-6F, C1:32:6F:C4:0F:6F, -75, 3.7750532053243937
2024-11-27T13:35:05.440000, sensor2, FB-A7-4F-BF-65-17, FB:A7:4F:BF:65:17, -79, 5.379838403443686
2024-11-27T13:35:10.770000, sensor2, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -68, 2.0309176209047357
2024-11-27T13:35:10.770000, sensor2, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -65, 1.5570684047537309
2024-11-27T13:35:10.770000, sensor2, 49-E5-60-31-C4-1B, 49:E5:60:31:C4:1B, -91, 15.57068404753731
2024-11-27T13:35:10.770000, sensor2, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -65, 1.5570684047537309
2024-11-27T13:35:10.770000, sensor2, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -79, 5.379838403443686
2024-11-27T13:35:10.770000, sensor2, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -59, 0.915247310877389
2024-11-27T13:35:10.770000, sensor2, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -59, 0.915247310877389
2024-11-27T13:35:10.770000, sensor2, [LG] webOS TV UN7370PUC, 48:6E:99:2B:8E:0B, -95, 22.18982341458972
2024-11-27T13:35:10.770000, sensor2, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -87, 10.926008611173785
2024-11-27T13:35:10.770000, sensor2, 59-80-82-17-05-85, 59:80:82:17:05:85, -78, 4.923882631706739
2024-11-27T13:35:10.770000, sensor2, NHVB9, 6C:21:62:40:6A:30, -88, 11.937766417144363
2024-11-27T13:35:10.770000, sensor2, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -90, 14.251026703029977
2024-11-27T13:35:10.770000, sensor2, C1-32-6F-C4-0F-6F, C1:32:6F:C4:0F:6F, -68, 2.0309176209047357
2024-11-27T13:35:10.770000, sensor2, E4-E3-4B-1B-90-DF, E4:E3:4B:1B:90:DF, -79, 5.379838403443686
2024-11-27T13:35:10.770000, sensor2, FB-A7-4F-BF-65-17, FB:A7:4F:BF:65:17, -84, 8.37677640068292
2024-11-27T13:35:10.770000, sensor2, FF-3C-3B-A5-E2-4D, FF:3C:3B:A5:E2:4D, -68, 2.0309176209047357
2024-11-27T13:35:16.110000, sensor2, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -68, 2.0309176209047357
2024-11-27T13:35:16.110000, sensor2, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -65, 1.5570684047537309
2024-11-27T13:35:16.110000, sensor2, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -87, 10.926008611173785
2024-11-27T13:35:16.110000, sensor2, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -59, 0.915247310877389
2024-11-27T13:35:16.110000, sensor2, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -61, 1.0926008611173783
2024-11-27T13:35:16.110000, sensor2, 59-80-82-17-05-85, 59:80:82:17:05:85, -78, 4.923882631706739
2024-11-27T13:35:16.110000, sensor2, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -74, 3.455107294592219
2024-11-27T13:35:16.110000, sensor2, C1-32-6F-C4-0F-6F, C1:32:6F:C4:0F:6F, -65, 1.5570684047537309
2024-11-27T13:35:16.110000, sensor2, [LG] webOS TV UN7370PUC, 48:6E:99:2B:8E:0B, -93, 18.587918911465636
2024-11-27T13:35:16.110000, sensor2, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -95, 22.18982341458972
2024-11-27T13:35:16.110000, sensor2, E4-E3-4B-1B-90-DF, E4:E3:4B:1B:90:DF, -75, 3.7750532053243937
2024-11-27T13:35:16.110000, sensor2, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -76, 4.1246263829013525
2024-11-27T13:35:21.460000, sensor2, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -59, 0.915247310877389
2024-11-27T13:35:21.460000, sensor2, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -68, 2.0309176209047357
2024-11-27T13:35:21.460000, sensor2, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -66, 1.701254279852589
2024-11-27T13:35:21.460000, sensor2, [LG] webOS TV UN7370PUC, 48:6E:99:2B:8E:0B, -94, 20.309176209047358
2024-11-27T13:35:21.460000, sensor2, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -88, 11.937766417144363
2024-11-27T13:35:21.460000, sensor2, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -75, 3.7750532053243937
2024-11-27T13:35:21.460000, sensor2, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -75, 3.7750532053243937
2024-11-27T13:35:21.460000, sensor2, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -59, 0.915247310877389
2024-11-27T13:35:21.460000, sensor2, 59-80-82-17-05-85, 59:80:82:17:05:85, -82, 7.017038286703828
2024-11-27T13:35:21.460000, sensor2, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -90, 14.251026703029977
2024-11-27T13:35:21.460000, sensor2, NHVB9, 6C:21:62:40:6A:30, -89, 13.043213867190055
2024-11-27T13:35:21.460000, sensor2, C1-32-6F-C4-0F-6F, C1:32:6F:C4:0F:6F, -68, 2.0309176209047357
2024-11-27T13:35:21.460000, sensor2, FF-3C-3B-A5-E2-4D, FF:3C:3B:A5:E2:4D, -66, 1.701254279852589
2024-11-27T13:35:21.460000, sensor2, 49-E5-60-31-C4-1B, 49:E5:60:31:C4:1B, -94, 20.309176209047358
2024-11-27T13:35:21.460000, sensor2, E4-E3-4B-1B-90-DF, E4:E3:4B:1B:90:DF, -78, 4.923882631706739
2024-11-27T13:35:21.460000, sensor2, FB-A7-4F-BF-65-17, FB:A7:4F:BF:65:17, -80, 5.878016072274914
2024-11-27T13:35:26.810000, sensor2, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -59, 0.915247310877389
2024-11-27T13:35:26.810000, sensor2, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -79, 5.379838403443686
2024-11-27T13:35:26.810000, sensor2, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -59, 0.915247310877389
2024-11-27T13:35:26.810000, sensor2, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -70, 2.4244620170823286
2024-11-27T13:35:26.810000, sensor2, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -71, 2.648969287610528
2024-11-27T13:35:26.810000, sensor2, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -91, 15.57068404753731
2024-11-27T13:35:26.810000, sensor2, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -88, 11.937766417144363
2024-11-27T13:35:26.810000, sensor2, C1-32-6F-C4-0F-6F, C1:32:6F:C4:0F:6F, -68, 2.0309176209047357
2024-11-27T13:35:26.810000, sensor2, 49-E5-60-31-C4-1B, 49:E5:60:31:C4:1B, -90, 14.251026703029977
2024-11-27T13:35:26.810000, sensor2, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -65, 1.5570684047537309
2024-11-27T13:35:26.810000, sensor2, FF-3C-3B-A5-E2-4D, FF:3C:3B:A5:E2:4D, -75, 3.7750532053243937
2024-11-27T13:35:26.810000, sensor2, [LG] webOS TV UN7370PUC, 48:6E:99:2B:8E:0B, -92, 17.012542798525892
2024-11-27T13:35:26.810000, sensor2, NHVB9, 6C:21:62:40:6A:30, -82, 7.017038286703828
2024-11-27T13:35:26.810000, sensor2, 59-80-82-17-05-85, 59:80:82:17:05:85, -80, 5.878016072274914
2024-11-27T13:35:26.810000, sensor2, E4-E3-4B-1B-90-DF, E4:E3:4B:1B:90:DF, -80, 5.878016072274914
2024-11-27T13:35:26.810000, sensor2, FB-A7-4F-BF-65-17, FB:A7:4F:BF:65:17, -80, 5.878016072274914
2024-11-27T13:35:32.160000, sensor2, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -75, 3.7750532053243937
2024-11-27T13:35:32.160000, sensor2, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -68, 2.0309176209047357
2024-11-27T13:35:32.160000, sensor2, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -59, 0.915247310877389
2024-11-27T13:35:32.160000, sensor2, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -64, 1.425102670302998
2024-11-27T13:35:32.160000, sensor2, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -59, 0.915247310877389
2024-11-27T13:35:32.160000, sensor2, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -67, 1.8587918911465637
2024-11-27T13:35:32.160000, sensor2, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -91, 15.57068404753731
2024-11-27T13:35:32.160000, sensor2, 59-80-82-17-05-85, 59:80:82:17:05:85, -80, 5.878016072274914
2024-11-27T13:35:32.160000, sensor2, NHVB9, 6C:21:62:40:6A:30, -82, 7.017038286703828
2024-11-27T13:35:32.160000, sensor2, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -85, 9.15247310877389
2024-11-27T13:35:32.160000, sensor2, [LG] webOS TV UN7370PUC, 48:6E:99:2B:8E:0B, -91, 15.57068404753731
2024-11-27T13:35:32.160000, sensor2, FB-A7-4F-BF-65-17, FB:A7:4F:BF:65:17, -82, 7.017038286703828
2024-11-27T13:35:37.500000, sensor2, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -68, 2.0309176209047357
2024-11-27T13:35:37.500000, sensor2, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -72, 2.894266124716751
2024-11-27T13:35:37.500000, sensor2, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -59, 0.915247310877389
2024-11-27T13:35:37.500000, sensor2, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -59, 0.915247310877389
2024-11-27T13:35:37.500000, sensor2, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -61, 1.0926008611173783
2024-11-27T13:35:37.500000, sensor2, 49-E5-60-31-C4-1B, 49:E5:60:31:C4:1B, -91, 15.57068404753731
2024-11-27T13:35:37.500000, sensor2, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -89, 13.043213867190055
2024-11-27T13:35:37.500000, sensor2, [LG] webOS TV UN7370PUC, 48:6E:99:2B:8E:0B, -91, 15.57068404753731
2024-11-27T13:35:37.500000, sensor2, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -75, 3.7750532053243937
2024-11-27T13:35:37.500000, sensor2, NHVB9, 6C:21:62:40:6A:30, -88, 11.937766417144363
2024-11-27T13:35:37.500000, sensor2, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -90, 14.251026703029977
2024-11-27T13:35:37.500000, sensor2, 59-80-82-17-05-85, 59:80:82:17:05:85, -76, 4.1246263829013525
2024-11-27T13:35:37.500000, sensor2, C1-32-6F-C4-0F-6F, C1:32:6F:C4:0F:6F, -62, 1.1937766417144364
2024-11-27T13:35:37.500000, sensor2, FF-3C-3B-A5-E2-4D, FF:3C:3B:A5:E2:4D, -65, 1.5570684047537309
2024-11-27T13:35:37.500000, sensor2, E4-E3-4B-1B-90-DF, E4:E3:4B:1B:90:DF, -79, 5.379838403443686
2024-11-27T13:35:42.840000, sensor2, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -63, 1.3043213867190053
2024-11-27T13:35:42.840000, sensor2, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -65, 1.5570684047537309
2024-11-27T13:35:42.840000, sensor2, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -78, 4.923882631706739
2024-11-27T13:35:42.840000, sensor2, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -59, 0.915247310877389
2024-11-27T13:35:42.840000, sensor2, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -59, 0.915247310877389
2024-11-27T13:35:42.840000, sensor2, 59-80-82-17-05-85, 59:80:82:17:05:85, -76, 4.1246263829013525
2024-11-27T13:35:42.840000, sensor2, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -91, 15.57068404753731
2024-11-27T13:35:42.840000, sensor2, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -62, 1.1937766417144364
2024-11-27T13:35:42.840000, sensor2, FB-A7-4F-BF-65-17, FB:A7:4F:BF:65:17, -84, 8.37677640068292
